,CTL1,CTL12,CTL13,HIV1_Bal1,HIV1_Bal2,HIV1_Bal3,HIV1.LTA1,HIV1.LTA2,HIV1.LTA3
IBSP,0,1,0,2,2,1,0,3,0
TFB1M,1040,825,492,578,629,640,733,707,514
RABEP1,14243,12358,8052,8647,9078,8939,10400,9759,7269
HMGB3,16877,14713,5043,10529,10737,4889,11773,11724,4000
NUP160,7830,6388,4290,4726,4733,4862,5501,5762,4423
BAK1,4005,3777,1890,2627,2741,2113,2983,3184,1814
MUSK,8,8,11,1,6,11,2,3,3
IKZF2,2102,1656,164,1094,978,179,1513,1985,122
GRN,13263,13777,3947,9060,9681,5001,11141,16340,6734
FAM13B,16551,14336,11855,10172,11993,14579,11955,12864,11153
ARHGAP31,5731,5155,4781,3852,3899,6051,4074,3887,4220
CENPQ,4114,3506,2150,2387,2561,2279,2990,2897,1850
SARS1,12890,12150,10266,7932,8680,11829,8996,8590,8506
RANBP3,5076,4219,2742,3177,3206,3405,3581,3791,2787
ARID4A,5684,4501,4499,3169,3076,5059,3916,4047,4643
EIPR1,1004,893,933,638,772,1099,782,728,902
PNPLA6,2076,2241,905,1367,1750,1403,1699,2017,1235
IFT88,1699,1287,544,1031,1040,633,1174,1201,534
ALG1,1610,1314,742,983,1089,988,1074,1211,783
ZCCHC8,3976,3369,2076,2390,2715,2303,2821,2724,1840
ABCF2,5668,4651,4320,3393,3429,5431,3877,3617,3620
CHPF2,4639,4382,3275,2983,3462,4051,3615,3742,3558
LRRC7,857,1008,112,472,542,104,652,1025,113
FUT8,6080,5302,3002,3693,3765,3475,4371,4255,2714
UBA6,16399,13066,9529,9868,9589,10598,11586,10455,9103
GAB2,793,733,2060,506,544,2536,571,821,1862
ATP6V0A1,3426,2935,2273,2089,2125,2682,2398,2338,2008
PIAS1,8135,6865,3240,4789,4334,3170,5499,6039,3018
SLC4A7,8412,7541,3932,5111,5040,4517,6135,6045,3491
APBA2,976,938,667,635,691,838,864,800,749
MAP2K3,3837,3375,1796,2241,2878,2498,2788,2539,1859
CLXN,1,0,3,0,0,1,0,0,0
TMSB10,174582,123613,191661,103740,97542,199818,114433,108023,181253
ASTE1,1207,1024,786,764,833,886,829,976,804
RNF19A,4627,4239,2773,3011,3000,3154,3527,3516,2484
PEX3,3689,2941,2197,2167,2238,2220,2708,2571,1813
GABARAPL2,5568,4780,2280,3359,3398,2427,4222,3972,2020
MYOC,0,0,0,0,2,0,0,0,0
SH3YL1,881,734,588,556,560,689,650,610,561
FAM136A,7111,6485,4976,4632,4923,5236,5269,5045,4115
VCL,31911,30263,33161,19889,21228,35719,22846,23660,28754
DEPDC1B,5511,4430,3014,3300,3238,3114,3926,3970,2939
DAPK2,144,121,159,132,104,201,110,158,143
NSMAF,2719,2180,1694,1554,1636,1899,1805,1815,1510
ADSS2,4457,4084,3997,2737,3028,4204,3202,3161,3504
STAP1,0,0,0,0,1,0,0,0,1
TIMP2,62983,52615,35972,40166,34848,40389,46787,52425,39689
RFC1,28900,24043,11913,17166,17644,12941,20319,20104,10979
TBC1D23,12804,11251,8826,7765,8133,9203,9178,8064,7586
CUL3,10355,9212,8239,6240,6377,8868,7534,6810,7288
MYOM2,269,191,61,160,137,82,195,176,66
OTC,0,0,0,0,0,0,0,1,0
CYP46A1,109,119,63,74,93,77,94,113,56
ZZZ3,7960,6833,3526,4649,5169,3956,5544,5738,3231
SLC18A1,0,0,0,0,0,1,1,3,1
USP2,78,34,49,35,41,81,51,80,74
CASR,0,0,0,0,0,0,0,0,0
TUBG2,1354,1172,357,891,865,553,923,1137,466
RPL26L1,5019,4257,3574,3264,3267,3870,3676,3372,3083
FLT4,6,23,19,4,9,28,11,13,28
NSUN2,25031,22466,15326,15634,16790,18132,18374,14978,12035
FBXO42,3064,2527,1408,1841,1930,1576,2176,2226,1245
MFAP3,10394,9084,5648,6412,6324,6208,7600,8113,4948
MRI1,1356,1284,1575,915,967,1699,977,1157,1544
METTL1,952,786,656,662,779,756,757,601,542
HOXC8,1050,1087,596,625,698,597,896,821,494
AGA,848,687,236,513,537,238,609,760,206
PI4K2B,7891,7799,4326,4762,5332,4417,5822,5677,3771
BOD1L1,19402,16326,7416,11642,12107,8997,13996,13160,6996
MAT2B,18580,14039,6841,10894,10195,7161,13100,14242,7030
TLL1,3998,5246,3376,2514,3270,3227,2969,2720,1989
EDC4,4223,3647,1684,2769,2907,2162,3146,3451,1834
TRIO,86640,78854,68737,53167,58919,82583,61776,56307,55875
VCAN,11576,11565,4392,7037,7879,5108,8392,6831,3114
CLEC16A,2132,1963,1207,1317,1391,1599,1544,1750,1294
MSR1,0,0,0,1,2,0,2,4,0
CDH1,11,10,0,3,5,2,6,10,3
MTREX,14306,12018,9038,8182,8752,10210,10054,9046,8318
DNAH5,921,789,952,516,584,982,526,565,675
ZFYVE16,13702,11452,6719,8181,7838,7173,9913,9887,6350
RIPOR1,4755,4656,2035,3075,3510,2506,3731,3905,2015
C6,1,2,0,0,0,0,0,0,0
RAI14,63515,61860,48450,40017,41098,51702,47608,44553,42311
SOX30,11,7,7,1,5,19,14,3,6
PNKP,1696,1416,978,1168,1212,1241,1285,1457,1172
BEST2,11,0,6,1,6,2,2,1,4
PHLPP2,6416,5315,2561,4131,3984,2830,4836,4706,2311
SPDL1,20607,19265,18899,13483,14379,19326,15284,12403,16213
STAU2,5629,4761,3293,3474,3576,3360,3930,4155,3037
SLC66A1,1298,1119,396,819,909,543,935,998,450
CTNS,1906,1602,589,1152,1345,746,1411,1630,649
RTN4R,50,58,40,55,46,68,32,52,45
PHF23,5795,4747,2538,3506,3366,2680,3908,3833,2310
CDH10,16,15,13,9,8,4,4,22,2
INPP4A,4943,4626,3864,3155,3175,4343,3699,3886,3788
RAB27B,846,358,55,343,369,80,562,734,137
PSMA4,26800,22184,13084,16265,16438,13425,18810,17033,11273
MYO16,51,22,7,26,21,6,27,45,4
LSG1,5291,4027,4830,3257,3300,5761,3650,3448,4606
PARP3,1852,1925,785,1131,1316,921,1522,1547,838
TNC,40572,49693,40916,26996,32713,43324,29701,29758,31894
THAP3,916,937,404,695,774,527,759,796,425
RIPOR3,206,119,35,84,55,43,140,276,36
TDP1,2080,1709,788,1195,1289,885,1460,1441,678
AIFM2,2320,2128,1458,1663,1816,1700,1757,1795,1378
C2orf83,0,0,2,0,0,0,2,4,0
SPATA7,695,549,166,367,432,208,461,456,197
MED17,625,581,442,423,511,477,457,441,423
RETSAT,3134,2809,2399,1987,2080,2740,2238,2501,2060
CAPG,290,288,285,202,187,335,237,238,447
AP2S1,11278,9382,6573,6940,7023,7134,7929,9171,6663
USH2A,19,15,3,5,8,4,4,24,8
ZPBP,0,0,0,0,0,0,0,0,0
TG,8,0,3,1,2,3,0,5,9
ADAM28,5,0,0,3,2,0,1,8,0
BARX2,0,0,0,0,0,0,0,0,0
DCUN1D1,7345,6046,5021,4230,4250,5264,5123,4801,4347
JADE2,12061,9408,8233,7315,7357,9796,8431,8511,9083
ZIC2,54,54,12,44,37,14,48,62,13
LCP2,13,12,0,7,6,0,5,16,5
TRIT1,1905,1711,1459,1175,1398,1673,1472,1263,1169
ADRB1,21,13,10,11,12,7,10,21,1
GUCA2B,0,0,0,0,0,0,0,0,0
CUL7,3298,2985,1476,2279,2318,2066,2504,2742,1517
CTNNA1,52558,48133,58258,32641,32542,64957,38160,39221,53650
PHKA2,3095,2879,2138,1910,2066,2346,2187,2579,1993
CNTLN,2349,1970,1420,1417,1448,1496,1697,1851,1376
EPHA3,0,0,3,0,0,0,0,0,0
HSPA5,50159,41203,47481,31548,31977,54301,36106,33161,44134
DSG2,11203,9002,7069,6949,5926,6987,8040,8604,6286
GEMIN8,417,359,247,302,286,268,324,357,245
OFD1,2708,2077,1340,1746,1653,1582,1889,1982,1356
GPM6B,68,63,54,48,40,66,47,59,28
MAGEC2,1,0,0,4,3,0,4,0,0
PREX2,0,0,0,0,0,0,0,0,1
WDR37,1794,1538,1716,1139,1138,2272,1262,1292,1565
YTHDC2,8750,7531,7075,5002,5256,7681,6371,6095,6355
CTPS2,2842,2590,1625,1745,1797,1782,2285,2276,1687
ATP6V1H,4115,3485,2097,2423,2595,2234,2839,2822,1767
POLR2B,39677,31572,16193,23965,24502,18524,27903,25527,14733
FAM214A,3267,2680,1498,1895,1985,1871,2373,2449,1563
ARAP2,1227,907,2,773,729,0,822,950,0
TPR,27910,22866,11751,16403,16985,13492,20230,20934,11525
CP,6,7,5,8,8,4,7,9,7
KATNIP,1340,1167,714,860,945,966,988,1312,816
DTNBP1,921,893,588,536,656,679,700,727,535
XK,11,18,1,12,19,4,11,14,6
ANO2,0,0,7,3,6,10,1,0,5
C12orf4,6280,5531,4376,3987,4211,4718,4883,4640,3594
SCML1,5150,5252,2521,3228,3703,2855,3976,4024,2013
WWC3,5937,4999,859,3631,3888,1168,4470,4893,779
ARHGAP6,749,679,313,483,489,370,619,661,390
FAM184B,48,34,9,46,38,18,36,38,6
MAP4,61162,61646,36341,39224,41239,41041,45506,46759,35474
GOPC,12812,11859,4446,8018,8092,4670,9360,8249,3801
ROS1,55,83,10,40,50,32,40,46,25
USP28,3785,3010,2917,2258,2181,3529,2732,2956,3220
HDAC9,274,327,883,166,274,1007,203,271,873
TSPAN17,8725,8633,5573,5620,5854,6857,6575,6695,6000
NOP16,1954,2062,1391,1416,1592,1794,1614,1254,1377
CC2D2A,3287,2793,1428,1892,2001,1734,2208,2274,1519
RRM2B,5330,4498,2194,3156,2811,2491,3747,4118,2222
ZNF800,3391,3071,2286,2126,2390,2774,2459,2440,2046
TNFRSF17,3,0,1,0,1,4,1,1,0
SNX29,1439,1308,941,866,898,1266,944,1279,1132
LMO3,0,0,0,0,0,0,0,0,0
MRPS10,7539,6195,4423,4704,4552,4564,5446,5314,3906
GUCA1A,0,0,0,1,0,0,2,0,0
RSF1,7666,6564,8306,4667,4669,9676,5447,5714,7975
VPS13D,7352,6164,4403,4595,4594,5564,5453,5852,4075
CELF2,2974,3248,4359,1752,2174,4511,2164,2481,4400
FAM120A,16099,15003,14692,10037,11186,17435,12290,12136,14645
R3HDM1,4389,3688,2231,2666,2685,2528,3170,3101,2192
COL9A2,135,128,50,97,107,29,105,194,74
KITLG,1757,1794,2951,1080,1613,3569,1365,1310,2720
ERCC8,3755,3181,2639,2266,2416,2950,2710,2636,2358
ADAMTS6,6174,5884,8244,3650,4052,9335,4403,3207,5499
H6PD,3755,3733,924,2341,2277,1146,2573,4607,1247
VAMP3,22149,19018,13163,13388,13291,14755,15702,14756,12193
PER3,2827,2769,1734,1827,1947,2021,2048,2999,2335
UTS2,1,0,0,0,0,0,0,0,1
TNFRSF9,915,630,55,577,515,90,779,1107,84
EPN3,12,12,3,9,5,4,10,6,6
LTBP1,1212,925,1335,692,744,1501,699,899,1763
RCN1,17744,14343,10944,10235,10414,11746,12550,10454,9540
ELN,1,0,0,1,1,0,6,0,0
RFC2,8966,7657,4868,5389,5859,5591,6407,6537,4680
ARID1B,10707,8988,4737,6788,6799,5791,7627,8600,4522
CLPTM1L,27605,25826,13513,18277,19894,16986,21165,20242,11296
NEDD4L,9028,7039,3655,5194,5372,4242,6218,6299,3558
FOXP3,6,27,7,12,19,5,9,14,11
PPP1R3F,372,251,51,245,232,141,269,289,91
HEXB,12101,9880,7971,7017,7327,8819,8679,9325,8012
PTCD2,2393,2199,1988,1516,1640,2380,1757,1684,1677
NEXMIF,0,6,0,0,0,1,0,0,0
JKAMP,7395,6108,5141,4737,4490,5698,5217,5186,4243
DKK3,21316,21412,23428,12863,15521,26319,15157,16538,19301
ARHGEF5,328,217,315,181,177,430,231,277,294
NFE2L3,2352,2129,2061,1277,1418,2212,1753,1579,1927
MCUR1,6423,5252,3456,3816,4051,3543,4523,4908,2977
LIMA1,32624,32111,23702,20348,20753,24673,24707,22145,16517
LETMD1,2411,2191,1109,1554,1621,1374,1758,1907,1143
SLC4A8,4119,3409,2782,2439,2410,2969,2816,2958,2762
LAMC3,8,3,0,0,4,0,4,1,3
PTGER3,6,1,5,5,1,5,0,0,2
TNIP3,4,6,0,2,0,0,5,0,2
MAPK9,9839,10324,5502,6354,6776,6242,7256,7034,4852
COL23A1,0,0,0,0,3,4,3,3,4
BCAR1,2976,3096,1009,1998,2627,1435,2477,2681,1166
FHIP1B,964,933,476,632,749,598,796,871,538
HERPUD1,3592,2991,1482,2185,2294,1691,2653,2597,1313
HOMER3,742,642,477,435,543,653,474,596,520
RAD51,4099,3979,2066,2446,2858,2075,2932,3222,1728
POLQ,9891,7732,5531,5983,5922,6791,7018,6415,5031
PIK3CB,6706,5046,4189,3910,3693,4801,4603,4857,4009
CYBA,1675,1755,288,1207,1471,375,1237,2211,469
THOC3,1568,1439,961,991,1063,965,1164,1256,887
HEBP2,1895,1538,940,1181,1061,949,1316,1271,894
MPHOSPH9,9048,7374,3471,5469,5551,3719,6613,6782,3360
PLEKHA5,6240,5208,2626,3755,3465,3040,4609,5318,2919
PRSS8,5,4,0,0,0,0,0,3,0
SIKE1,9709,8952,5068,5908,6468,5513,7160,7843,4636
RRP12,1611,1476,1561,1125,1323,2080,1180,1141,1470
FNIP2,2127,2034,3749,1312,1400,4357,1547,1769,3276
MSMO1,9230,8668,6333,5836,6358,6637,7203,7665,6150
TTC17,5024,3980,1585,2974,2999,1878,3496,3445,1486
ALX4,14,12,5,13,5,8,3,5,9
FSTL4,0,0,0,0,1,6,3,3,5
FOXN3,11985,13211,3986,7279,8266,3874,8849,10299,3164
METTL24,35,30,3,19,18,6,20,22,5
AKR7A2,3180,2949,1215,2037,2145,1517,2346,2684,1320
MRTO4,6803,6109,5379,4269,5137,6236,5044,3510,4106
NNAT,120,160,68,97,120,67,98,86,56
USE1,392,456,215,283,344,326,293,366,271
MCF2L2,135,140,1,104,81,6,127,139,4
NRIP2,174,151,59,117,118,76,101,145,52
LAMA3,1112,992,671,754,803,950,818,1378,713
AP5M1,9695,8067,5431,6096,5862,5928,7054,7214,4892
ANAPC4,4196,3604,2205,2401,2587,2237,2916,2816,1824
KCNQ1,1,0,9,2,0,5,1,0,17
TRAPPC3,4767,3490,3054,2696,2603,3294,3088,3288,2776
THRAP3,30249,25582,17647,18178,18810,20559,21581,21105,16685
PHPT1,3131,3364,1791,2244,2262,2164,2691,3789,2727
ENTPD2,7,3,4,4,3,2,1,1,1
LY75,0,0,0,0,0,1,1,0,0
ARID4B,4818,4012,2863,2866,2907,3185,3315,3615,2790
OPN3,320,231,37,218,210,49,201,276,69
SDCCAG8,708,508,659,372,417,762,466,500,687
PTPRN,435,354,8,320,308,9,302,280,14
HHAT,1026,783,102,636,606,185,679,795,87
KIF1B,16561,14451,16627,10067,10717,18460,11874,10967,13326
FOXC1,540,496,281,270,410,271,367,379,235
TBC1D22A,901,777,361,545,619,456,656,769,398
SYNE2,15153,13044,8117,8720,9168,9784,10344,14855,8269
PLEKHH1,558,466,96,299,335,126,388,517,112
ATP9A,3201,3020,7184,1900,2213,8211,2383,3084,6490
SPO11,0,0,0,0,0,0,0,0,0
CBLN4,1,0,0,0,0,0,0,0,0
CHRDL2,3,3,5,8,1,1,6,2,4
FAM168A,13660,11589,11588,8353,8339,12792,9366,10698,10909
RELT,875,801,588,548,668,843,618,603,592
GALC,2641,2305,356,1652,1410,393,1932,2279,373
NOP58,8691,8032,7199,5369,6296,8610,6561,5269,6420
SZRD1,23601,19133,11329,14388,14072,12989,16834,19067,11705
KCNH2,8,5,14,5,8,12,3,4,9
CUL1,10117,8302,6732,6070,6060,7320,7312,6707,5877
FAM114A2,2438,2041,2108,1491,1515,2174,1681,1763,1961
CYFIP2,810,852,1099,555,641,1170,608,939,1084
TAB2,15532,13775,7947,9247,9459,9067,10969,11303,6811
GINM1,7313,6019,3146,4195,3949,3425,5255,5472,3140
EIF2AK2,19585,16193,13185,11482,11715,14217,13654,15201,12173
USP36,4132,3939,2577,2553,3305,3421,2963,3028,2341
KMT2C,9362,7412,8921,5651,5459,10477,6599,6554,8006
MCOLN3,2190,1893,748,1419,1380,687,1518,1968,663
CCDC85A,534,792,936,362,585,1064,460,526,962
PUM2,16243,14553,11743,10012,10064,13212,12200,12419,10780
MRPL43,1960,1730,974,1304,1252,1157,1466,1584,1070
ITIH4,36,25,6,13,19,22,28,28,10
ITIH1,1,0,0,0,0,4,5,0,1
HPF1,2242,1979,1755,1427,1453,2034,1779,1663,1722
ZFR,45615,37345,26880,27677,30729,31658,31807,28742,23268
ZNF280C,1284,1036,296,796,863,492,949,942,333
NPFFR2,9,3,0,5,4,0,3,4,0
PHF21B,6,6,3,5,8,16,9,8,11
TRAF1,228,211,106,163,223,262,172,228,87
RC3H2,20363,18437,9031,12244,11932,9842,14740,14713,7728
IL17RB,846,607,186,502,509,269,582,527,236
TRAF3IP2,1605,1093,566,899,835,742,1065,1334,640
GYG2,664,670,270,430,377,234,437,605,206
DCBLD2,71371,52913,21166,41202,42197,25770,48815,44007,26602
SERPINB3,31,2,0,3,6,0,6,7,0
SOAT1,13522,11524,9523,8004,8874,10957,9763,8991,7734
PKP2,2654,2399,1402,1460,1462,1313,2013,2503,1247
MSH4,30,38,16,27,33,14,21,24,18
F7,0,0,0,0,0,3,0,0,0
GDI2,19487,17377,20535,11759,12642,22339,14114,13499,18423
PRDM1,161,108,17,75,81,11,107,160,10
ATG5,7868,6710,2829,4749,4978,2998,5615,5611,2526
TMCC3,350,126,57,149,116,76,211,306,107
PITHD1,3660,3171,2004,2178,2478,2368,2538,2603,1767
MTA3,3550,2892,3761,2110,2196,4017,2516,2615,3302
USP13,3022,2706,2105,1917,1801,2281,2122,2441,2040
ATP11B,9005,7946,7060,5363,5389,7727,6355,6691,7170
LAMC2,270,223,406,119,212,509,147,138,319
CDK14,7484,6547,5875,4557,4503,6798,5498,6238,6282
SEC61A1,46749,39797,28692,28989,29624,34375,32902,31577,27214
PPP1R12A,17456,16020,11111,10659,10829,12161,12441,11366,9096
RASGRF1,722,678,61,410,502,77,511,817,81
CAMK2B,72,64,43,46,44,46,65,94,60
CROCC,377,430,135,288,331,197,336,441,162
POLR3E,1383,1168,603,849,844,751,980,992,614
ATP2B4,16118,15946,17370,9525,10583,18251,12127,13397,15664
ZC3H11A,950,847,461,592,585,534,650,676,419
RIOK2,6420,5159,5184,3760,3922,6039,4613,3940,4233
YIPF1,1350,1024,829,833,797,994,943,806,848
NDC1,15655,13268,9954,9234,9581,10614,11345,10871,9184
DGKG,346,348,1241,197,274,1494,266,217,1021
FLYWCH1,655,641,297,423,498,369,543,725,389
UNKL,411,392,187,256,315,215,307,330,155
TBXAS1,61,51,31,15,31,30,52,36,16
PARP12,1473,1156,1229,880,849,1559,1027,1216,1201
ALDH18A1,8325,6770,5540,4985,5185,6305,5917,5857,5280
TARBP1,1784,1636,842,1072,1108,933,1278,1385,786
GATB,1867,1554,1902,1079,1164,2155,1320,1204,1876
MXD1,1954,1740,1497,1197,1277,1642,1381,1681,1232
CDK17,3798,3219,2852,2356,2325,3385,2598,2458,2522
DNAJC25,1408,1198,870,818,966,1119,1087,925,745
SLC2A3,4754,3340,2629,2574,2404,2917,3231,3658,2482
PSD,49,49,14,26,40,25,61,36,28
CTDP1,1429,1311,535,855,1017,684,1178,1082,592
YBX3,11673,10229,4987,6928,7077,5516,8343,10074,4399
STYK1,409,420,128,242,300,181,331,255,96
WNK1,39609,32803,21107,23976,25225,24692,27795,29336,18768
RPS17P5,1,0,0,2,0,0,2,3,0
CCAR1,11056,9578,6480,6686,7148,7596,7980,7334,6029
OGFR,2710,2649,1233,1755,2066,1526,2149,2492,1496
GNA15,6,21,5,10,16,13,8,8,11
CREB3L3,1,0,0,0,2,0,0,1,1
PIGV,467,393,387,289,323,445,314,469,344
PTPRU,273,225,77,169,174,90,213,308,113
SNRNP40,5933,4842,2915,3505,3712,3459,3992,4529,3122
RIMBP2,5,3,14,2,1,12,1,3,7
COL11A1,84,80,73,47,46,31,63,106,41
QSER1,11316,10485,6168,6827,7382,6994,8402,7888,5544
MPC1,2656,2243,1446,1723,1944,1749,1930,2032,1373
ACAA1,2353,2019,789,1443,1513,1114,1598,1602,888
BCAT1,35768,34841,27079,21123,23195,28830,27101,22382,21029
HDAC7,6310,5766,3562,4291,4326,4627,4654,4943,3838
LZTS1,1948,1964,1812,1212,1412,2117,1456,1511,1675
PRDM6,48,38,11,27,36,31,43,42,14
WNT8A,0,0,0,0,0,0,0,0,0
SPAG4,290,257,102,126,227,157,214,292,132
NCKAP1,28593,24667,14469,17197,17345,16294,20714,19786,12608
MRPS35,9949,8646,5387,6025,6615,5933,7783,6393,4587
GUCY1B1,372,304,105,254,217,120,287,330,95
SFSWAP,3890,3620,1490,2634,2766,1963,2973,3069,1551
TNK2,1024,1153,632,717,832,904,806,1021,871
MON2,6780,5921,4003,4130,4161,4220,4969,4846,3521
CDH3,7,12,0,17,10,3,10,27,2
ARSF,0,0,0,0,0,0,0,0,0
GPBP1,15147,12425,9624,9142,8841,10680,10817,10959,9369
DGAT2,945,708,502,553,539,679,632,695,621
ZNF112,1181,1075,680,729,788,734,831,1033,755
CS,22207,20894,18178,13833,14765,20618,16245,14789,15717
LTK,17,34,6,9,16,7,21,31,6
MRPS24,350,463,81,266,372,108,322,368,72
ELMO2,6231,5080,4269,3930,3798,5276,4405,4679,4304
WAPL,13177,11081,8551,8234,8369,9658,9777,9069,7483
VMP1,20572,15669,9000,12569,11696,9121,14991,12251,8027
APPBP2,9405,8159,4866,5854,5706,5338,7012,7449,4753
POLD1,2650,2494,1059,1655,2162,1343,1956,2637,1352
SEZ6,5,6,0,2,7,5,3,3,2
EIF4B,35566,28701,18326,20598,19890,20813,24444,27456,18768
SLC6A16,68,41,34,25,41,56,30,37,38
BICRA,651,625,313,416,416,384,438,511,365
SPHK2,808,715,330,485,570,410,575,725,453
RPL18,28983,21967,16416,17010,16601,17495,18256,23344,15478
CA11,1136,780,61,629,566,75,831,1265,165
ISOC2,479,561,287,353,365,317,358,479,331
U2AF2,19462,17610,8856,12237,13240,11211,14087,15186,10328
EPN1,4286,4390,2421,2732,3115,2901,3332,3633,2538
MED29,4168,3745,1726,2805,2989,2051,3225,3818,1814
AHRR,223,208,83,136,151,113,156,197,114
GSC2,1,0,0,0,0,0,1,0,0
ZNF275,2937,2525,1040,1755,1873,1109,2137,2139,817
MTMR1,4523,3895,1536,2666,2772,1493,3164,3289,1188
GPC1,7711,10119,5177,5207,7190,6040,6592,8133,6293
ADCK1,264,192,36,159,155,47,197,197,48
HAGH,2007,1938,875,1221,1375,1081,1556,1548,1024
RNF4,12710,10855,4107,7987,8051,4806,9155,8987,3882
CASP8,2557,1896,2140,1468,1553,2439,1758,1650,2081
LIMCH1,15069,14477,11868,9283,9650,13162,11199,12469,11251
INTS13,6051,5470,4573,3691,3934,4551,4253,4132,3791
TM7SF3,7414,5672,2850,4474,4472,3284,5315,5931,3052
DLX3,10,1,0,2,8,5,6,1,0
SPA17,1902,1439,1288,1147,1151,1308,1286,1321,1284
TSPAN32,2,3,1,2,2,0,5,8,0
CCN5,49,66,17,33,39,6,54,133,17
DMRT3,0,0,0,0,0,0,0,0,0
ST3GAL6,917,707,509,564,588,592,571,740,585
ATP2C2,15,10,39,17,31,37,19,13,21
NGFR,426,417,60,220,298,147,303,349,89
CDON,892,607,445,461,404,641,568,622,593
TAF2,6394,5551,3594,3811,3845,4048,4298,4479,3288
HIPK2,12552,10498,6407,6861,7558,7878,8566,9367,5431
TNPO3,17960,14990,11648,11006,11395,13066,13025,13273,10645
RFXANK,2045,1862,1060,1333,1375,1288,1424,1860,1113
TMEM161A,540,552,196,327,537,282,470,564,286
LPAR2,161,177,59,103,131,69,125,183,63
CTSA,20000,15960,6489,11924,11494,7387,14291,17774,7716
SUGP2,17905,14248,8110,10834,10888,9381,12079,12311,8088
SLC12A2,6014,5718,4829,3815,4093,5459,4529,4363,4690
SNX24,2894,2737,3689,1748,1897,3679,2025,1889,2530
EYA2,2,0,0,0,0,0,2,5,0
CNN2,18347,19438,7974,12249,13193,9194,13786,15448,6566
ABCA7,556,548,54,358,457,93,463,777,121
SNCAIP,44,25,12,29,31,12,23,31,22
DDX20,5291,4536,4098,3028,3530,4457,3585,3441,3166
BTBD1,14029,12024,6921,8453,8460,7444,10336,9492,6377
FAR2,1814,1438,1971,1108,1065,2202,1189,1234,1808
BCAS1,9,8,6,3,3,8,8,12,5
POU1F1,2,0,0,2,2,0,3,11,0
CHI3L2,1,0,8,0,0,25,1,0,5
SBNO2,2492,2296,589,1605,1757,809,1941,2235,696
PMS1,2808,2445,1525,1760,1699,1642,2082,2256,1663
HMG20B,1581,1705,1125,1064,1151,1295,1198,1628,1390
CALCRL,78,51,0,43,40,1,64,85,2
TAF11,4321,4079,2116,2877,2882,2302,3253,3093,1964
ANKS1A,3325,2864,1681,2088,1962,2002,2267,2550,1769
AP3D1,9262,8698,3218,5953,6706,4307,6999,7307,3574
ZNF76,1130,1059,406,692,692,439,786,1111,497
SLC9A3R2,735,789,462,429,652,673,555,603,535
NTHL1,259,254,180,150,186,197,165,231,208
UHRF1BP1,6538,6027,4311,3900,4076,4541,4951,5460,3781
GNAI3,15632,14274,12259,9948,10661,13577,11689,10538,10584
IPO5,42386,42429,28020,25579,29364,29271,30226,26739,20193
OAT,20120,16493,13029,12024,11693,14148,13929,12233,11597
WDR3,6502,5497,5217,4106,4228,5649,4669,3793,4072
PKN2,17262,15185,10576,10351,10893,11624,12792,12212,9723
WDR18,856,890,269,528,725,410,722,810,352
TRAM2,45160,44204,34406,27904,30001,38387,32150,36360,25934
NTN1,74,102,37,78,95,63,80,152,41
GLP2R,435,390,55,298,192,41,311,386,36
MCM10,5692,4672,4635,3492,3827,5309,4086,3677,4046
DGKA,2398,2307,1100,1521,1419,1206,1694,2002,979
ERBB3,194,253,55,99,159,56,132,200,62
ROPN1,10,3,1,0,4,8,14,10,1
ANKRD44,1838,1575,1733,1106,1158,1877,1313,1404,1740
KARS1,15387,12295,6718,9146,9361,7558,10497,9884,5729
ADAT1,5604,4382,1713,3210,3247,2102,3963,3927,1522
PDIA5,1222,1000,678,794,611,754,865,917,674
TBC1D22B,2716,2416,1390,1676,1617,1409,1996,2118,1239
NDUFB4,11668,9681,6439,6587,7337,7037,7902,7075,6128
SPEN,14253,12484,8358,8661,9382,10705,10271,11260,7738
MYLK,52318,46726,33746,29734,30043,36606,37201,44269,41495
ZC3H15,8069,6717,5007,4789,5094,5752,6048,4645,4231
MAP2K4,5562,4498,1940,3236,3185,2111,3926,3674,1494
PACC1,998,1030,466,623,672,448,719,707,382
SNAP91,4,2,0,1,1,0,2,3,0
SLK,10368,9024,7333,6455,6444,8153,7896,7192,6795
CYB5R4,6163,5511,2700,3637,4122,3047,4397,4154,2441
COL17A1,93,43,92,45,53,147,57,52,123
GSTO2,69,89,87,68,48,124,64,80,91
SEC61A2,1687,1276,1065,926,1021,1152,1161,937,946
PRKCQ,22,17,25,15,11,28,23,18,40
TLE2,200,266,52,140,188,111,190,320,82
ASB1,9307,8427,7609,5574,6273,9732,6406,6432,6260
FAM107B,2816,2777,2768,1704,1900,2959,2051,2156,2503
ME1,2579,2364,602,1714,1669,635,1915,1719,494
TBC1D1,9868,9766,8095,5916,6639,9146,7186,6979,6680
CDK13,6698,5792,2539,4117,4421,2783,5004,4774,2227
MTHFD2,16112,15566,10534,10022,11415,10924,12360,11227,8653
SLC9A7,5988,4884,5677,3476,3698,6432,4388,3927,5147
FOXJ2,5364,5048,2740,3275,3303,3378,3844,4249,2502
YBX1,64017,53224,35519,38341,39578,38578,45037,43473,33644
PDE4A,1235,1122,410,820,816,485,929,1062,454
PPP2R5A,3119,2598,1660,1768,1894,1856,2192,2249,1478
CTNNA2,0,1,4,1,3,4,6,1,0
